epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6958593916665192,0.6953289909826147,0.43333333333333335,0.48484848484848486,0.4477777777777778,0.01991600130347189,9.828543239822595e-06,0.3611111111111111,2,10,1.0,keep,none,0,0
1,0.69517197930347,0.695311120560431,0.45,0.5074626865671642,0.4633333333333333,0.0198836048711389,9.836294784288178e-06,0.3611111111111111,2,10,1.0,keep,none,0,0
2,0.6945064399399872,0.695222749781075,0.45,0.49230769230769234,0.4677777777777778,0.02033023180465117,1.031633042140273e-05,0.3611111111111111,2,10,1.0,keep,none,0,0
3,0.6938438306582104,0.6950821309498637,0.4666666666666667,0.5151515151515151,0.48,0.021226112744461213,1.1285159489515715e-05,0.3611111111111111,2,10,1.0,keep,none,0,0
4,0.6931645495953009,0.6948886585038117,0.48333333333333334,0.5373134328358209,0.4922222222222222,0.022522196806621562,1.2759749251755217e-05,0.3611111111111111,2,10,1.0,keep,none,0,0
5,0.6924495651493623,0.6946294939378544,0.4666666666666667,0.5294117647058824,0.5022222222222222,0.024169769561171853,1.4765571186689703e-05,0.3611111111111111,2,10,1.0,keep,none,0,0
6,0.6916841544911916,0.6942989238186158,0.48333333333333334,0.5507246376811594,0.5177777777777778,0.02609549783592211,1.7297880351306767e-05,0.3611111111111111,2,10,1.0,keep,none,0,0
7,0.6908584198681741,0.693894846722458,0.5333333333333333,0.6111111111111112,0.5333333333333333,0.028225917899331612,2.033612716907158e-05,0.3611111111111111,2,10,1.0,keep,none,0,0
8,0.6899652809788739,0.6934151167830227,0.55,0.6197183098591549,0.5455555555555556,0.030502999000638742,2.385966060425702e-05,0.3611111111111111,2,10,1.0,keep,none,0,0
9,0.6889992203292855,0.6928568296260008,0.6,0.6756756756756757,0.56,0.0328836057921674,2.7849836074189153e-05,0.3611111111111111,2,10,1.0,keep,none,0,0
10,0.6975221800578291,0.6922164710273473,0.6166666666666667,0.6933333333333334,0.5700000000000001,0.05842034520651679,5.965027137347795e-05,0.24074074074074073,3,15,1.0,add_layer,committed,1,0
11,0.6948594281588315,0.7035446935640621,0.38333333333333336,0.4126984126984127,0.33111111111111113,0.056756455263949034,5.602893144121346e-05,0.24074074074074073,3,15,1.0,keep,none,1,0
12,0.6922966745638193,0.7012431299219081,0.4166666666666667,0.4262295081967213,0.37555555555555553,0.05626335992172215,5.481304740650958e-05,0.24074074074074073,3,15,1.0,keep,none,1,0
13,0.6897670351329851,0.6989414535236661,0.4166666666666667,0.4262295081967213,0.4366666666666667,0.05630739328680672,5.472445509042139e-05,0.24074074074074073,3,15,1.0,keep,none,1,0
14,0.6872451082939928,0.696667106692948,0.5166666666666667,0.5084745762711864,0.49666666666666665,0.05663399850915757,5.526492833679845e-05,0.24074074074074073,3,15,1.0,keep,none,1,0
15,0.6698612044320402,0.6944108063922914,0.55,0.5423728813559322,0.5355555555555556,0.15573986654613944,0.00033424091100743314,0.18055555555555555,4,20,1.0,add_layer,committed,2,0
16,0.6611369108421495,0.668143943500826,0.6,0.5384615384615384,0.6677777777777778,0.14978701954325352,0.0003095729985124866,0.18055555555555555,4,20,1.0,keep,none,2,0
17,0.6528217712997949,0.6619795022224363,0.6333333333333333,0.6206896551724138,0.7033333333333334,0.14310538929327032,0.00028292022467950605,0.18055555555555555,4,20,1.0,keep,none,2,0
18,0.6450227107995629,0.656397099321668,0.6833333333333333,0.6885245901639344,0.728888888888889,0.13616502210543904,0.0002564753919721947,0.18055555555555555,4,20,1.0,keep,none,2,0
19,0.6378016989977322,0.6514670873178049,0.6833333333333333,0.6984126984126984,0.7455555555555557,0.12943650764400552,0.00023204657772124548,0.18055555555555555,4,20,1.0,keep,none,2,0
20,0.6978994905709109,0.6471532010153974,0.7,0.71875,0.7555555555555556,0.1270842367358958,0.00017885771543418286,0.14444444444444443,5,25,1.0,add_layer,committed,3,0
21,0.6888278165414091,0.6970262239139023,0.5166666666666667,0.3829787234042553,0.4922222222222222,0.1243675721936908,0.00017112507601105436,0.14444444444444443,5,25,1.0,keep,none,3,0
22,0.6800161070756727,0.6897927182693336,0.48333333333333334,0.39215686274509803,0.5633333333333334,0.12089932998568517,0.00016158255170007068,0.14444444444444443,5,25,1.0,keep,none,3,0
23,0.6715930620422323,0.6827742616709945,0.6,0.5555555555555556,0.61,0.11660485715249715,0.00015016694855296507,0.14444444444444443,5,25,1.0,keep,none,3,0
24,0.6636680571319632,0.6760231412366678,0.5833333333333334,0.5283018867924528,0.6511111111111111,0.11171486987190292,0.00013768985758742152,0.14444444444444443,5,25,1.0,keep,none,3,0
25,0.6883357287537668,0.6696649388329525,0.6166666666666667,0.5964912280701754,0.6855555555555556,0.17571159750528967,0.0002853912106529436,0.12037037037037036,6,30,1.0,add_layer,committed,4,0
26,0.6752611059740667,0.6964117105647304,0.5166666666666667,0.17142857142857143,0.5544444444444444,0.16069170259811677,0.00023832076055886953,0.12037037037037036,6,30,1.0,keep,none,4,0
27,0.6634494304851949,0.6852452496813783,0.5666666666666667,0.43478260869565216,0.6022222222222223,0.14376685712585702,0.0001903537720665751,0.12037037037037036,6,30,1.0,keep,none,4,0
28,0.6530765511440996,0.675501940429705,0.65,0.6181818181818182,0.6477777777777778,0.12764826707941013,0.00014965958955832516,0.12037037037037036,6,30,1.0,keep,none,4,0
29,0.644072734857357,0.6671017929884576,0.65,0.6666666666666666,0.6877777777777777,0.11447378196054563,0.00012002583034518483,0.12037037037037036,6,30,1.0,keep,none,4,0
30,0.6362437972171047,0.6598375528902606,0.6,0.6571428571428571,0.72,0.10533589528047785,0.00010142204677206717,0.12037037037037036,6,30,1.0,stop_growth,none,4,0
31,0.6293628005804678,0.6535117955131283,0.6166666666666667,0.676056338028169,0.7433333333333333,0.1000910672209984,9.15184666930479e-05,0.12037037037037036,6,30,1.0,keep,none,4,0
32,0.6232152468113358,0.647976252382321,0.6166666666666667,0.676056338028169,0.7677777777777778,0.0976221836467518,8.711868506954616e-05,0.12037037037037036,6,30,1.0,keep,none,4,0
33,0.6176140464733718,0.643050462186806,0.6333333333333333,0.6944444444444444,0.7822222222222222,0.09654995798485749,8.532935423564147e-05,0.12037037037037036,6,30,1.0,keep,none,4,0
34,0.6124108414355517,0.6385532723020957,0.6333333333333333,0.6944444444444444,0.7966666666666666,0.09573150341556216,8.400880950665343e-05,0.12037037037037036,6,30,1.0,keep,none,4,0
35,0.6075040947470716,0.6343424976178914,0.65,0.7123287671232876,0.8011111111111111,0.09444516256781348,8.186740082035826e-05,0.12037037037037036,6,30,1.0,stop_growth,none,4,0
36,0.6028408827052638,0.630330581148621,0.6666666666666666,0.7297297297297297,0.8088888888888889,0.09236455257157376,7.83743746179917e-05,0.12037037037037036,6,30,1.0,keep,none,4,0
37,0.598409814801662,0.6264782152381037,0.6833333333333333,0.7466666666666667,0.8111111111111112,0.08946781394334594,7.358326388316684e-05,0.12037037037037036,6,30,1.0,keep,none,4,0
38,0.5942245602761821,0.6227778429866625,0.7166666666666667,0.7671232876712328,0.82,0.0859350119443846,6.791122799545412e-05,0.12037037037037036,6,30,1.0,keep,none,4,0
39,0.5903053119715206,0.619238096523708,0.7166666666666667,0.7671232876712328,0.8300000000000001,0.0820549002438248,6.192244856176226e-05,0.12037037037037036,6,30,1.0,keep,none,4,0
